type,value,vt_available,malicious,suspicious,harmless,reputation
domain,targetcorp-secure.com,False,Unknown,Unknown,Unknown,Not found in VT
domain,legitimate-vendor.com,False,Unknown,Unknown,Unknown,Not found in VT
domain,payro11-verify.com,False,Unknown,Unknown,Unknown,Not found in VT
ip,45.67.89.123,True,0,0,59,LIKELY SAFE
ip,198.51.100.50,True,0,0,59,LIKELY SAFE
ip,203.45.67.89,True,1,0,59,MALICIOUS
ip,185.220.101.45,True,14,2,49,MALICIOUS
url,https://legitimate-vendor-secure.com/invoices/download?id=INV-2025-4782&tokenb2c3d4e5f6,False,Unknown,Unknown,Unknown,Not found in VT
url,www.legitimate-vendor.com,False,Unknown,Unknown,Unknown,Not found in VT
url,http://bit.ly/3xY7Kq2,False,Unknown,Unknown,Unknown,Not found in VT
